縣	县	xiàn	county
鎮康縣	镇康县	Zhèn kāng xiàn	Zhenkang county in Lincang 臨滄|临沧[Lín cāng], Yunnan
鎮沅彞族哈尼族拉祜族自治縣	镇沅彝族哈尼族拉祜族自治县	Zhèn yuán Yí zú Hā ní zú Lā hù zú Zì zhì xiàn	Zhenyuan Yi, Hani and Lahu autonomous county in Pu'er 普洱[Pǔ ěr], Yunnan
鎮沅縣	镇沅县	Zhèn yuán xiàn	Zhenyuan Yi, Hani and Lahu autonomous county in Pu'er 普洱[Pǔ ěr], Yunnan
鎮源縣	镇源县	Zhèn yuán xiàn	Zhenyuan county in Yunnan
鎮賚縣	镇赉县	Zhèn lài xiàn	Zhenlai county in Baicheng 白城, Jilin
鎮遠縣	镇远县	Zhèn yuǎn xiàn	Zhenyuan county in Qiandongnan Miao and Dong autonomous prefecture 黔東南州|黔东南州[Qián dōng nán zhōu], Guizhou
鎮雄縣	镇雄县	Zhèn xióng xiàn	Zhenxiong county in Zhaotong 昭通[Zhāo tōng], Yunnan
鐘山縣	钟山县	Zhōng shān xiàn	Zhongshan county in Hezhou 賀州|贺州[Hè zhōu], Guangxi
鐘祥縣	钟祥县	Zhōng xiáng xiàn	Zhongxiang county in Hubei
鐵嶺縣	铁岭县	Tiě lǐng xiàn	Tieling county in Tieling 鐵嶺|铁岭, Liaoning
長垣縣	长垣县	Cháng yuán xiàn	Changyuan county in Xinxiang 新鄉|新乡[Xīn xiāng], Henan
長子縣	长子县	Cháng zǐ xiàn	Changzhi county in Changzhi 長治|长治[Cháng zhì], Shanxi
長寧縣	长宁县	Cháng níng xiàn	Changning county in Yibin 宜賓|宜宾[Yí bīn], Sichuan
長島縣	长岛县	Cháng dǎo xiàn	Changdao county in Yantai 煙台|烟台, Shandong
長嶺縣	长岭县	Cháng lǐng xiàn	Changling county in Songyuan 松原, Jilin
長掌義縣龍	长掌义县龙	cháng zhǎng Yì xiàn lóng	Yixianosaurus longimanus, theropod dinosaur from Yi county 義縣|义县, Jinzhou 錦州|锦州, west Liaoning
長武縣	长武县	Cháng wǔ Xiàn	Changwu County in Xianyang 咸陽|咸阳[Xián yáng], Shaanxi
長汀縣	长汀县	Cháng tīng xiàn	Changting county in Longyan 龍岩|龙岩, Fujian
長沙縣	长沙县	Cháng shā xiàn	Changsha county in Changsha 長沙|长沙[Cháng shā], Hunan
長治縣	长治县	Cháng zhì xiàn	Changzhi county in Changzhi 長治|长治[Cháng zhì], Shanxi
長泰縣	长泰县	Cháng tài xiàn	Changtai county in Zhangzhou 漳州[Zhāng zhōu], Fujian
長海縣	长海县	Cháng hǎi xiàn	Changhai county in Dalian 大連|大连[Dà lián], Liaoning
長白朝鮮族自治縣	长白朝鲜族自治县	Cháng bái Cháo xiǎn zú Zì zhì xiàn	Changbai Korean autonomous county in Baishan 白山[Bái shān], Jilin
長白縣	长白县	Cháng bái xiàn	Changbai Korean autonomous county in Baishan 白山, Jilin
長興縣	长兴县	Cháng xīng xiàn	Changxing county in Huzhou 湖州[Hú zhōu], Zhejiang
長豐縣	长丰县	Cháng fēng xiàn	Changfeng county in Hefei 合肥[Hé féi], Anhui
長野縣	长野县	Cháng yě xiàn	Nagano prefecture, Japan
長陽土家族自治縣	长阳土家族自治县	Cháng yáng Tǔ jiā zú Zì zhì xiàn	Changyang Tujia Autonomous County in Hubei
長陽縣	长阳县	cháng yáng xiàn	Changyang Tujia Autonomous County in Hubei (abbr. for 長陽土家族自治縣|长阳土家族自治县[Cháng yáng Tǔ jiā zú Zì zhì xiàn])
長順縣	长顺县	Cháng shùn xiàn	Changshun county in Qiannan Buyei and Miao autonomous prefecture 黔南州[Qián nán zhōu], Guizhou
門源回族自治縣	门源回族自治县	Mén yuán Huí zú Zì zhì xiàn	Menyuan Hui autonomous county in Haibei Tibetan autonomous prefecture 海北藏族自治州[Hǎi běi Zàng zú zì zhì zhōu], Qinghai
門源縣	门源县	Mén yuán xiàn	Menyuan Hui autonomous county in Haibei Tibetan autonomous prefecture 海北藏族自治州[Hǎi běi Zàng zú zì zhì zhōu], Qinghai
開化縣	开化县	Kāi huà xiàn	Kaihua county in Quzhou 衢州[Qú zhōu], Zhejiang
開原縣	开原县	Kāi yuán xiàn	Kaiyuan county in Tieling 鐵嶺|铁岭, Liaoning
開封縣	开封县	Kāi fēng xiàn	Kaifeng county in Kaifeng, Henan
開江縣	开江县	Kāi jiāng xiàn	Kaijiang county in Dazhou 達州|达州[Dá zhōu], Sichuan
開縣	开县	Kāi xiàn	Kai county in Wanzhou suburbs of north Chongqing municipality, formerly in Sichuan
開陽縣	开阳县	Kāi yáng xiàn	Kaiyang county in Guiyang 貴陽|贵阳[Guì yáng], Guizhou
開魯縣	开鲁县	Kāi lǔ xiàn	Kailu county in Tongliao 通遼|通辽[Tōng liáo], Inner Mongolia
閩侯縣	闽侯县	Mǐn hóu xiàn	Minhou county in Fuzhou 福州[Fú zhōu], Fujian
閩清縣	闽清县	Mǐn qīng xiàn	Minqing county in Fuzhou 福州[Fú zhōu], Fujian
關嶺布依族苗族自治縣	关岭布依族苗族自治县	Guān lǐng Bù yī zú Miáo zú Zì zhì xiàn	Guanling Buyei and Hmong autonomous county in Anshun 安順|安顺[Ān shùn], Guizhou
關嶺縣	关岭县	Guān lǐng xiàn	Guanling Buyei and Hmong autonomous county in Anshun 安順|安顺[Ān shùn], Guizhou
阜南縣	阜南县	Fù nán xiàn	Funan County in Fuyang 阜陽|阜阳[Fù yáng], Anhui
阜城縣	阜城县	Fù chéng xiàn	Fucheng county in Hengshui 衡水[Héng shuǐ], Hebei
阜寧縣	阜宁县	Fù níng xiàn	Funing county in Yancheng 鹽城|盐城[Yán chéng], Jiangsu
阜平縣	阜平县	Fù píng xiàn	Fuping county, Baoding, Hebei
阜新蒙古族自治縣	阜新蒙古族自治县	Fù xīn Měng gǔ zú Zì zhì xiàn	Fuxin Mongol autonomous county in Fuxin 阜新, Liaoning
防城各族自治縣	防城各族自治县	Fáng chéng Gè zú Zì zhì xiàn	Fangcheng Various Nationalities Autonomous County in Guangxi (temporary name during 1950s for Fangcheng district 防城區|防城区[Fáng chéng qū] of Fangchenggang city)
防城縣	防城县	Fáng chéng xiàn	former Fangcheng county, now Fangcheng district 防城區|防城区[Fáng chéng qū] of Fangchenggang city
阿克塞哈薩克族自治縣	阿克塞哈萨克族自治县	Ā kè sài Hā sà kè zú Zì zhì xiàn	Aksai Kazakh autonomous county in Jiuquan 酒泉, Gansu
阿克塞縣	阿克塞县	Ā kè sài xiàn	Aksai Kazakh autonomous county in Jiuquan 酒泉, Gansu
阿克陶縣	阿克陶县	Ā kè táo xiàn	Aketedu county in Xinjiang (on the border with Kyrgyzstan)
阿合奇縣	阿合奇县	Ā hé qí xiàn	Aqchi Nahiyisi or Aheqi county in Kizilsu Kirghiz autonomous prefecture 克孜勒蘇柯爾克孜自治州|克孜勒苏柯尔克孜自治州, Xinjiang
阿圖什縣	阿图什县	Ā tú shí xiàn	Atush or Artux county in Qizilsu Kyrgyz autonomous prefecture in Xinjiang 克孜勒蘇柯爾克孜自治州|克孜勒苏柯尔克孜自治州
阿壩縣	阿坝县	Ā bà xiàn	Ngawa county (Tibetan: rnga ba rdzong) in Ngawa Tibetan and Qiang autonomous prefecture 阿壩藏族羌族自治州|阿坝藏族羌族自治州[Ā bà Zàng zú Qiāng zú zì zhì zhōu], northwest Sichuan
阿瑟縣	阿瑟县	Ā sè xiàn	Arthur County, Nebraska
阿瓦提縣	阿瓦提县	Ā wǎ tí xiàn	Avat nahiyisi (Awat county) in Aksu 阿克蘇地區|阿克苏地区[Ā kè sū dì qū], west Xinjiang
陝縣	陕县	Shǎn xiàn	Shan county in Sanmenxia 三門峽|三门峡[Sān mén xiá], Henan
陴縣	陴县	Pí xiàn	Pi county in Sichuan
陵川縣	陵川县	Líng chuān xiàn	Lingcuan county in Jincheng 晉城|晋城[Jìn chéng], Shanxi
陵水縣	陵水县	Líng shuǐ xiàn	Lingshui Lizu Autonomous County, Hainan/abbr. for 陵水黎族自治縣|陵水黎族自治县[Líng shuǐ Lí zú Zì zhì xiàn]
陵水黎族自治縣	陵水黎族自治县	Líng shuǐ Lí zú Zì zhì xiàn	Lingshui Lizu Autonomous County, Hainan
陵縣	陵县	Líng xiàn	Ling county in Dezhou 德州[Dé zhōu], Shandong
陶樂縣	陶乐县	Táo lè xiàn	former Taole county, now in Pingluo county 平羅縣|平罗县[Píng luó xiàn], Shizuishan 石嘴山[Shí zuǐ shān], Ningxia
陸川縣	陆川县	Lù chuān xiàn	Luchuan county in Yulin 玉林[Yù lín], Guangxi
陸河縣	陆河县	Lù hé xiàn	Luhe county in Shanwei 汕尾, Guangdong
陸良縣	陆良县	Lù liáng xiàn	Luliang county in Qujing 曲靖[Qǔ jìng], Yunnan
陽信縣	阳信县	Yáng xìn xiàn	Yangxin county in Binzhou 濱州|滨州[Bīn zhōu], Shandong
陽原縣	阳原县	Yáng yuán xiàn	Yangyuan county in Zhangjiakou 張家口|张家口[Zhāng jiā kǒu], Hebei
陽城縣	阳城县	Yáng chéng xiàn	Yangcheng county in Jincheng 晉城|晋城[Jìn chéng], Shanxi
陽山縣	阳山县	Yáng shān xiàn	Yangshan county in Qingyuan 清远, Guangdong
陽新縣	阳新县	Yáng xīn xiàn	Yangxin county in Huangshi 黃石|黄石[Huáng shí], Hubei
陽曲縣	阳曲县	Yáng qǔ xiàn	Yangqu county in Taiyuan 太原[Tài yuán], Shanxi
陽朔縣	阳朔县	Yáng shuò xiàn	Yangshuo county in Guilin 桂林[Guì lín], Guangxi
陽東縣	阳东县	Yáng dōng xiàn	Yangdong county in Yangjiang 陽江|阳江[Yáng jiāng], Guangdong
陽西縣	阳西县	Yáng xī xiàn	Yangxi county in Yangjiang 陽江|阳江[Yáng jiāng], Guangdong
陽谷縣	阳谷县	Yáng gǔ xiàn	Yangu county in Liaocheng 聊城[Liáo chéng], Shandong
陽高縣	阳高县	Yáng gāo xiàn	Yanggao county in Datong 大同[Dà tóng], Shanxi
隆化縣	隆化县	Lóng huà xiàn	Longhua county in Chengde 承德[Chéng dé], Hebei
隆回縣	隆回县	Lóng huí xiàn	Longhui county in Shaoyang 邵陽|邵阳[Shào yáng], Hunan
隆堯縣	隆尧县	Lóng yáo xiàn	Longyao county in Xingtai 邢台[Xíng tái], Hebei
隆子縣	隆子县	Lóng zǐ xiàn	Lhünzê county, Tibetan: Lhun rtse rdzong, in Lhokha prefecture 山南地區|山南地区[Shān nán dì qū], Tibet
隆安縣	隆安县	Lóng ān xiàn	Long'an county in Nanning 南寧|南宁[Nán níng], Guangxi
隆德縣	隆德县	Lóng dé xiàn	Longde county in Guyuan 固原[Gù yuán], Ningxia
隆昌縣	隆昌县	Lóng chāng xiàn	Longchang county in Neijiang 內江|内江[Nèi jiāng], Sichuan
隆林各族自治縣	隆林各族自治县	Lóng lín Gè zú Zì zhì xiàn	Longlin Various Nationalities Autonomous County in Baise 百色[Bǎi sè], Guangxi
隆林縣	隆林县	Lóng lín xiàn	Longlin various ethnic groups autonomous county in Baise 百色[Bǎi sè], Guangxi
隆格爾縣	隆格尔县	Lóng gé ěr xiàn	former Lunggar county 1983-1999 occupying parts of Zhongba county 仲巴縣|仲巴县[Zhòng bā xiàn], Ngari prefecture, Tibet
隨縣	随县	Suí xiàn	Sui county in Suizhou 隨州|随州[Suí zhōu], Hubei
隰縣	隰县	Xí xiàn	Xi county in Linfen 臨汾|临汾[Lín fén], Shanxi
隴川縣	陇川县	Lǒng chuān xiàn	Longchuan county in Dehong Dai and Jingpo autonomous prefecture 德宏傣族景頗族自治州|德宏傣族景颇族自治州[Dé hóng Dǎi zú Jǐng pō zú zì zhì zhōu], Yunnan
隴縣	陇县	Lǒng Xiàn	Long County in Baoji 寶雞|宝鸡[Bǎo jī], Shaanxi
隴西縣	陇西县	Lǒng xī xiàn	Longxi county in Dingxi 定西[Dìng xī], Gansu
雄縣	雄县	Xióng xiàn	Xiong county in Baoding 保定[Bǎo dìng], Hebei
雅江縣	雅江县	Yǎ jiāng xiàn	Yajiang county (Tibetan: nyag chu rdzong) in Garze Tibetan autonomous prefecture 甘孜藏族自治州[Gān zī Zàng zú zì zhì zhōu], Sichuan (formerly in Kham province of Tibet)
集賢縣	集贤县	Jí xián xiàn	Jixian county in Shuangyashan 雙鴨山|双鸭山[Shuāng yā shān], Heilongjiang
雙峰縣	双峰县	Shuāng fēng xiàn	Twin peaks county/Shuangfeng county in Loudi 婁底|娄底[Lóu dǐ], Hunan
雙柏縣	双柏县	Shuāng bǎi xiàn	Shuangbai county in Chuxiong Yi autonomous prefecture 楚雄彞族自治州|楚雄彝族自治州[Chǔ xióng Yí zú zì zhì zhōu], Yunnan
雙江拉祜族佤族布朗族傣族自治縣	双江拉祜族佤族布朗族傣族自治县	Shuāng jiāng lā hù zú Wǎ zú Bù lǎng zú Dǎi zú Zì zhì xiàn	Shuangjiang Lahu, Va, Blang and Dai autonomous county in Lincang 臨滄|临沧[Lín cāng], Yunnan
雙江縣	双江县	Shuāng jiāng xiàn	Shuangjiang Lahu, Va, Blang and Dai autonomous county in Lincang 臨滄|临沧[Lín cāng], Yunnan
雙流縣	双流县	Shuāng liú xiàn	Shuangliu county in Chengdu 成都[Chéng dū], Sichuan
雙牌縣	双牌县	Shuāng pái xiàn	Shuangpai county in Yongzhou 永州[Yǒng zhōu], Hunan
雜多縣	杂多县	Zá duō xiàn	Zadoi county (Tibetan: rdza stod rdzong) in Yushu Tibetan autonomous prefecture 玉樹藏族自治州|玉树藏族自治州[Yù shù Zàng zú zì zhì zhōu], Qinghai
雞東縣	鸡东县	Jī dōng xiàn	Jidong county in Jixi 雞西|鸡西[Jī xī], Heilongjiang
雞澤縣	鸡泽县	Jī zé xiàn	Jize county in Handan 邯鄲|邯郸[Hán dān], Hebei
雲和縣	云和县	Yún hé xiàn	Yunhe county in Lishui 麗水|丽水[Lí shuǐ], Zhejiang
雲夢縣	云梦县	Yún mèng xiàn	Yunmeng county in Xiaogan 孝感[Xiào gǎn], Hubei
雲安縣	云安县	Yún ān xiàn	Yun'an county in Yunfu 雲浮|云浮[Yún fú], Guangdong
雲林縣	云林县	Yún lín xiàn	Yunlin county in Taiwan
雲縣	云县	Yún xiàn	Yun county in Lincang 臨滄|临沧[Lín cāng], Yunnan
雲陽縣	云阳县	Yún yáng xiàn	Yunyang county in Wanzhou suburbs of north Chongqing municipality, formerly in Sichuan
雲霄縣	云霄县	Yún xiāo xiàn	Yunxiao county in Zhangzhou 漳州[Zhāng zhōu], Fujian
雲龍縣	云龙县	Yún lóng xiàn	Yunlong county in Dali Bai autonomous prefecture 大理白族自治州[Dà lǐ Bái zú zì zhì zhōu], Yunnan
雷山縣	雷山县	Léi shān xiàn	Leishan county in Qiandongnan Miao and Dong autonomous prefecture 黔東南州|黔东南州[Qián dōng nán zhōu], Guizhou
雷波縣	雷波县	Léi bō xiàn	Leibo county in Liangshan Yi autonomous prefecture 涼山彞族自治州|凉山彝族自治州[Liáng shān Yí zú zì zhì zhōu], south Sichuan
電白縣	电白县	Diàn bái xiàn	Dianbai county in Maoming 茂名, Guangdong
霍城縣	霍城县	Huò chéng xiàn	Huocheng county or Qorghas nahiyisi in Ili Kazakh autonomous prefecture 伊犁哈薩克自治州|伊犁哈萨克自治州[Yī lí Hā sà kè zì zhì zhōu], Xinjiang
霍山縣	霍山县	Huò shān xiàn	Huoshan county in Lu'an 六安[Lù ān], Anhui
霍邱縣	霍邱县	Huò qiū xiàn	Huoqiu county in Lu'an 六安[Lù ān], Anhui
霑益縣	沾益县	Zhān yì xiàn	Zhanyi county in Qujing 曲靖[Qǔ jìng], Yunnan
霞浦縣	霞浦县	Xiá pǔ xiàn	Xiapu county in Ningde 寧德|宁德[Níng dé], Fujian
霸縣	霸县	Bà xiàn	Ba county in Tianjin
靈丘縣	灵丘县	Líng qiū xiàn	Lingqiu county in Datong 大同[Dà tóng], Shanxi
靈台縣	灵台县	Líng tái xiàn	Lingtai county in Pingliang 平涼|平凉[Píng liáng], Gansu
靈壽縣	灵寿县	Líng shòu xiàn	Lingshou county in Shijiazhuang 石家莊|石家庄[Shí jiā zhuāng], Hebei
靈山縣	灵山县	Líng shān xiàn	Lingshan county in Qinzhou 欽州|钦州[Qīn zhōu], Guangxi
靈川縣	灵川县	Líng chuān xiàn	Lingchuan county in Guilin 桂林[Guì lín], Guangxi
靈璧縣	灵璧县	Líng bì xiàn	Lingbi county in Suzhou 宿州[Sù zhōu], Anhui
靈石縣	灵石县	Líng shí xiàn	Lingshi county in Jinzhong 晉中|晋中[Jìn zhōng], Shanxi
青岡縣	青冈县	Qīng gāng xiàn	Qinggang county in Suihua 綏化|绥化, Heilongjiang
青川縣	青川县	Qīng chuān xiàn	Qingchuan county in Guangyuan 廣元|广元[Guǎng yuán], Sichuan
青森縣	青森县	Qīng sēn xiàn	Aomori prefecture at the far north of Japan's main island Honshū 本州[Běn zhōu]
青河縣	青河县	Qīng hé xiàn	Qinggil county or Chinggil nahiyisi in Altay prefecture 阿勒泰地區|阿勒泰地区[Ā lè tài dì qū], Xinjiang
青田縣	青田县	Qīng tián xiàn	Qingtian county in Lishui 麗水|丽水[Lí shuǐ], Zhejiang
青神縣	青神县	Qīng shén Xiàn	Qingshen County in Meishan 眉山市[Méi shān Shì], Sichuan
青縣	青县	Qīng xiàn	Qing county in Cangzhou 滄州|沧州[Cāng zhōu], Hebei
青陽縣	青阳县	Qīng yáng xiàn	Qingyang county in Chizhou 池州[Chí zhōu], Anhui
青龍滿族自治縣	青龙满族自治县	Qīng lóng Mǎn zú Zì zhì xiàn	Qinglong Manchu autonomous county in Qinhuangdao 秦皇島|秦皇岛[Qín huáng dǎo], Hebei
青龍縣	青龙县	Qīng lóng xiàn	Qinglong Manchu autonomous county in Qinhuangdao 秦皇島|秦皇岛[Qín huáng dǎo], Hebei
靖宇縣	靖宇县	Jìng yǔ xiàn	Jingyu county in Baishan 白山, Jilin
靖安縣	靖安县	Jìng ān xiàn	Jing'an county in Yichun 宜春, Jiangxi
靖州縣	靖州县	Jìng zhōu xiàn	Jingzhou Miao and Dong autonomous county in Huaihua 懷化|怀化[Huái huà], Hunan
靖州苗族侗族自治縣	靖州苗族侗族自治县	Jìng zhōu Miáo zú Dòng zú Zì zhì xiàn	Jingzhou Miao and Dong autonomous county in Huaihua 懷化|怀化[Huái huà], Hunan
靖西縣	靖西县	Jìng xī xiàn	Jingxi county in Baise 百色[Bǎi sè], Guangxi
靖遠縣	靖远县	Jìng yuǎn xiàn	Jingyuan county in Baiyin 白銀|白银[Bái yín], Gansu
靖邊縣	靖边县	Jìng biān Xiàn	Jingbian County in Yulin 榆林[Yú lín], Shaanxi
靜寧縣	静宁县	Jìng níng xiàn	Jingning county in Pingliang 平涼|平凉[Píng liáng], Gansu
靜岡縣	静冈县	Jìng gāng xiàn	Shizuoka prefecture southwest of Tokyo, Japan
靜樂縣	静乐县	Jìng lè xiàn	Jingle county in Xinzhou 忻州[Xīn zhōu], Shanxi
靜海縣	静海县	Jìng hǎi xiàn	Jinghai county in Tianjin 天津[Tiān jīn]
革吉縣	革吉县	Gé jí xiàn	Ge'gyai county in Ngari prefecture, Tibet, Tibetan: Dge rgyas rdzong
鞏留縣	巩留县	Gǒng liú xiàn	Gongliu county or Toqquztara nahiyisi in Ili Kazakh autonomous prefecture 伊犁哈薩克自治州|伊犁哈萨克自治州[Yī lí Hā sà kè zì zhì zhōu], Xinjiang
鞏縣	巩县	Gǒng xiàn	Gong county in Henan
韓城縣	韩城县	Hán chéng xiàn	Hancheng county in Shaanxi
響水縣	响水县	Xiǎng shuǐ xiàn	Xiangshui county in Yancheng 鹽城|盐城[Yán chéng], Jiangsu
順平縣	顺平县	Shùn píng xiàn	Shunping county in Baoding 保定[Bǎo dìng], Hebei
順昌縣	顺昌县	Shùn chāng xiàn	Shunchang county in Nanping 南平[Nán píng], Fujian
額敏縣	额敏县	É mǐn xiàn	Emin county or Dörbiljin nahiyisi in Tacheng prefecture 塔城地區|塔城地区[Tǎ chéng dì qū], Xinjiang
類烏齊縣	类乌齐县	Lèi wū qí xiàn	Riwoqê county, Tibetan: Ri bo che rdzong, in Chamdo prefecture 昌都地區|昌都地区[Chāng dū dì qū], Tibet
餘干縣	余干县	Yú gān xiàn	Yugan county in Shangrao 上饒|上饶, Jiangxi
餘慶縣	余庆县	Yú qìng xiàn	Yuqing county in Zunyi 遵義|遵义[Zūn yì], Guizhou
餘江縣	余江县	Yú jiāng xiàn	Yujiang county in Yingtan 鷹潭|鹰潭, Jiangxi
館陶縣	馆陶县	Guǎn táo xiàn	Guantao county in Handan 邯鄲|邯郸[Hán dān], Hebei
饒平縣	饶平县	Ráo píng xiàn	Raoping county in Chaozhou 潮州[Cháo zhōu], Guangdong
饒河縣	饶河县	Ráo hé xiàn	Raohe county in Shuangyashan 雙鴨山|双鸭山[Shuāng yā shān], Heilongjiang
饒陽縣	饶阳县	Ráo yáng xiàn	Raoyang county in Hengshui 衡水[Héng shuǐ], Hebei
首縣	首县	shǒu xiàn	principal county magistrate in imperial China
香格里拉縣	香格里拉县	Xiāng gé lǐ lā xiàn	Shangri-La county in Dêqên or Diqing Tibetan autonomous prefecture 迪慶藏族自治州|迪庆藏族自治州[Dí qìng Zàng zú zì zhì zhōu], northwest Yunnan/formerly Gyeltang or Gyalthang, Chinese 中甸[Zhōng diàn] in Tibetan province of Kham
香河縣	香河县	Xiāng hé xiàn	Xianghe county in Langfang 廊坊[Láng fáng], Hebei
馬山縣	马山县	Mǎ shān xiàn	Mashan county in Nanning 南寧|南宁[Nán níng], Guangxi
馬爾康縣	马尔康县	Mǎ ěr kāng xiàn	Barkam county (Tibetan: 'bar khams rdzong) in Ngawa Tibetan and Qiang autonomous prefecture 阿壩藏族羌族自治州|阿坝藏族羌族自治州[Ā bà Zàng zú Qiāng zú zì zhì zhōu], northwest Sichuan
馬邊彞族自治縣	马边彝族自治县	Mǎ biān Yí zú Zì zhì xiàn	Mabian Yizu Autonomous County in Leshan 樂山|乐山[Lè shān], Sichuan
馬邊縣	马边县	Mǎ biān xiàn	Mabian Yizu autonomous county in Leshan 樂山|乐山[Lè shān], Sichuan
馬關縣	马关县	Mǎ guān xiàn	Maguan county in Wenshan Zhuang and Miao autonomous prefecture 文山壯族苗族自治州|文山壮族苗族自治州[Wén shān Zhuàng zú Miáo zú zì zhì zhōu], Yunnan
馬龍縣	马龙县	Mǎ lóng xiàn	Malong county in Qujing 曲靖[Qǔ jìng], Yunnan
騰沖縣	腾冲县	Téng chōng xiàn	Tengchong county in Baoshan 保山[Bǎo shān], Yunnan
高台縣	高台县	Gāo tái xiàn	Gaotai county in Zhangye 張掖|张掖[Zhāng yè], Gansu
高唐縣	高唐县	Gāo táng xiàn	Gaotang county in Liaocheng 聊城[Liáo chéng], Shandong
